hhid,q502,q502_1,q502_2,q502_3
005c8a23-00f7-4a13-a7fa-b991fd597b2e,No stove,0,0,0
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Solid-fuel stove,2,160,2500
00647135-ec2c-4c6e-b38d-13f686901e1e,Biogas stove,0,0,0
00647135-ec2c-4c6e-b38d-13f686901e1e,Electric cooking stove,0,0,0
00647135-ec2c-4c6e-b38d-13f686901e1e,Kerosene fuel / other liquid fuel stove,2,120,1500
00647135-ec2c-4c6e-b38d-13f686901e1e,LPG stove,1,420,6000
00647135-ec2c-4c6e-b38d-13f686901e1e,No stove,0,0,0
00647135-ec2c-4c6e-b38d-13f686901e1e,Solid-fuel stove,0,0,0
008fd052-3d53-4129-b05c-93c60c990aa8,Biogas stove,0,0,0
008fd052-3d53-4129-b05c-93c60c990aa8,Electric cooking stove,0,0,0
008fd052-3d53-4129-b05c-93c60c990aa8,Kerosene fuel / other liquid fuel stove,0,0,0
008fd052-3d53-4129-b05c-93c60c990aa8,LPG stove,1,110,1650
008fd052-3d53-4129-b05c-93c60c990aa8,No stove,0,0,0
008fd052-3d53-4129-b05c-93c60c990aa8,Solid-fuel stove,0,0,0
00d6e8ab-ac98-4587-8341-8123cb6fb504,Biogas stove,0,0,0
00d6e8ab-ac98-4587-8341-8123cb6fb504,Electric cooking stove,0,0,0
00d6e8ab-ac98-4587-8341-8123cb6fb504,Kerosene fuel / other liquid fuel stove,0,0,0
00d6e8ab-ac98-4587-8341-8123cb6fb504,LPG stove,0,0,0
00d6e8ab-ac98-4587-8341-8123cb6fb504,No stove,0,0,0
00d6e8ab-ac98-4587-8341-8123cb6fb504,Solid-fuel stove,2,3000,4500
01137cb1-0f3c-498b-83a7-24260df07009,Biogas stove,0,0,0
01137cb1-0f3c-498b-83a7-24260df07009,Electric cooking stove,0,0,0
01137cb1-0f3c-498b-83a7-24260df07009,Kerosene fuel / other liquid fuel stove,0,0,0
01137cb1-0f3c-498b-83a7-24260df07009,LPG stove,0,0,0
01137cb1-0f3c-498b-83a7-24260df07009,No stove,0,0,0
01137cb1-0f3c-498b-83a7-24260df07009,Solid-fuel stove,2,180,9000
012e7c3d-191a-4b28-b542-e06231daf80a,Biogas stove,0,0,0
012e7c3d-191a-4b28-b542-e06231daf80a,Electric cooking stove,0,0,0
012e7c3d-191a-4b28-b542-e06231daf80a,Kerosene fuel / other liquid fuel stove,0,0,0
012e7c3d-191a-4b28-b542-e06231daf80a,LPG stove,0,0,0
012e7c3d-191a-4b28-b542-e06231daf80a,No stove,0,0,0
012e7c3d-191a-4b28-b542-e06231daf80a,Solid-fuel stove,1,120,2500
013b6bdd-321d-4ae0-b1db-e3899cf7614e,Biogas stove,0,0,0
013b6bdd-321d-4ae0-b1db-e3899cf7614e,Electric cooking stove,0,0,0
013b6bdd-321d-4ae0-b1db-e3899cf7614e,Kerosene fuel / other liquid fuel stove,0,0,0
013b6bdd-321d-4ae0-b1db-e3899cf7614e,LPG stove,0,0,0
013b6bdd-321d-4ae0-b1db-e3899cf7614e,No stove,0,0,0
013b6bdd-321d-4ae0-b1db-e3899cf7614e,Solid-fuel stove,2,180,6000
014d2bb7-fcce-4c7f-8b07-c4997a7ee802,Biogas stove,0,0,0
014d2bb7-fcce-4c7f-8b07-c4997a7ee802,Electric cooking stove,0,0,0
014d2bb7-fcce-4c7f-8b07-c4997a7ee802,Kerosene fuel / other liquid fuel stove,0,0,0
014d2bb7-fcce-4c7f-8b07-c4997a7ee802,LPG stove,0,0,0
014d2bb7-fcce-4c7f-8b07-c4997a7ee802,No stove,0,0,0
014d2bb7-fcce-4c7f-8b07-c4997a7ee802,Solid-fuel stove,1,320,2500
0184985b-96d6-4668-b76b-3ea2886e40f9,Biogas stove,0,0,0
0184985b-96d6-4668-b76b-3ea2886e40f9,Electric cooking stove,0,0,0
0184985b-96d6-4668-b76b-3ea2886e40f9,Kerosene fuel / other liquid fuel stove,0,0,0
0184985b-96d6-4668-b76b-3ea2886e40f9,LPG stove,1,185,5000
0184985b-96d6-4668-b76b-3ea2886e40f9,No stove,0,0,0
0184985b-96d6-4668-b76b-3ea2886e40f9,Solid-fuel stove,0,0,0
01915c84-ac4a-4f6e-bb6e-8138c2293048,Biogas stove,0,0,0
01915c84-ac4a-4f6e-bb6e-8138c2293048,Electric cooking stove,0,0,0
01915c84-ac4a-4f6e-bb6e-8138c2293048,Kerosene fuel / other liquid fuel stove,0,0,0
01915c84-ac4a-4f6e-bb6e-8138c2293048,LPG stove,0,0,0
01915c84-ac4a-4f6e-bb6e-8138c2293048,No stove,0,0,0
01915c84-ac4a-4f6e-bb6e-8138c2293048,Solid-fuel stove,1,120,600
0194d965-608c-45be-961f-f41244ac79d5,Biogas stove,0,0,0
0194d965-608c-45be-961f-f41244ac79d5,Electric cooking stove,0,0,0
0194d965-608c-45be-961f-f41244ac79d5,Kerosene fuel / other liquid fuel stove,0,0,0
0194d965-608c-45be-961f-f41244ac79d5,LPG stove,0,0,0
0194d965-608c-45be-961f-f41244ac79d5,No stove,0,0,0
0194d965-608c-45be-961f-f41244ac79d5,Solid-fuel stove,2,250,0
01c87ffc-e620-4e0b-b67e-0d3e4a54a091,Biogas stove,0,0,0
01c87ffc-e620-4e0b-b67e-0d3e4a54a091,Electric cooking stove,0,0,0
01c87ffc-e620-4e0b-b67e-0d3e4a54a091,Kerosene fuel / other liquid fuel stove,0,0,0
01c87ffc-e620-4e0b-b67e-0d3e4a54a091,LPG stove,1,120,3500
01c87ffc-e620-4e0b-b67e-0d3e4a54a091,No stove,0,0,0
01c87ffc-e620-4e0b-b67e-0d3e4a54a091,Solid-fuel stove,1,60,2500
01d08253-1def-4d8b-80a1-8d7a0fa3d24b,Biogas stove,0,0,0
01d08253-1def-4d8b-80a1-8d7a0fa3d24b,Electric cooking stove,0,0,0
01d08253-1def-4d8b-80a1-8d7a0fa3d24b,Kerosene fuel / other liquid fuel stove,0,0,0
01d08253-1def-4d8b-80a1-8d7a0fa3d24b,LPG stove,1,180,6000
01d08253-1def-4d8b-80a1-8d7a0fa3d24b,No stove,0,0,0
01d08253-1def-4d8b-80a1-8d7a0fa3d24b,Solid-fuel stove,0,0,0
01ed95f8-d48e-44a1-be2d-e94101fb04cb,Biogas stove,0,0,0
01ed95f8-d48e-44a1-be2d-e94101fb04cb,Electric cooking stove,0,0,0
01ed95f8-d48e-44a1-be2d-e94101fb04cb,Kerosene fuel / other liquid fuel stove,0,0,0
01ed95f8-d48e-44a1-be2d-e94101fb04cb,LPG stove,1,60,6000
01ed95f8-d48e-44a1-be2d-e94101fb04cb,No stove,0,0,0
01ed95f8-d48e-44a1-be2d-e94101fb04cb,Solid-fuel stove,0,0,0
020af694-a49d-4660-90b0-de861ce88f16,Biogas stove,0,0,0
020af694-a49d-4660-90b0-de861ce88f16,Electric cooking stove,0,0,0
020af694-a49d-4660-90b0-de861ce88f16,Kerosene fuel / other liquid fuel stove,0,0,0
020af694-a49d-4660-90b0-de861ce88f16,LPG stove,1,60,3000
020af694-a49d-4660-90b0-de861ce88f16,No stove,0,0,0
020af694-a49d-4660-90b0-de861ce88f16,Solid-fuel stove,0,0,0
021fa739-61e2-4dd0-95ba-311ed439c426,Biogas stove,0,0,0
021fa739-61e2-4dd0-95ba-311ed439c426,Electric cooking stove,0,0,0
021fa739-61e2-4dd0-95ba-311ed439c426,Kerosene fuel / other liquid fuel stove,0,0,0
021fa739-61e2-4dd0-95ba-311ed439c426,LPG stove,0,0,0
021fa739-61e2-4dd0-95ba-311ed439c426,No stove,0,0,0
021fa739-61e2-4dd0-95ba-311ed439c426,Solid-fuel stove,2,120,3200
0229ab31-ef17-4de5-9c6d-3b412e7bc590,Biogas stove,0,0,0
0229ab31-ef17-4de5-9c6d-3b412e7bc590,Electric cooking stove,0,0,0
0229ab31-ef17-4de5-9c6d-3b412e7bc590,Kerosene fuel / other liquid fuel stove,1,240,4000
0229ab31-ef17-4de5-9c6d-3b412e7bc590,LPG stove,0,0,0
0229ab31-ef17-4de5-9c6d-3b412e7bc590,No stove,0,0,0
0229ab31-ef17-4de5-9c6d-3b412e7bc590,Solid-fuel stove,0,0,0
02334da2-473b-40cc-8b33-cd37675bbc4c,Biogas stove,0,0,0
02334da2-473b-40cc-8b33-cd37675bbc4c,Electric cooking stove,0,0,0
02334da2-473b-40cc-8b33-cd37675bbc4c,Kerosene fuel / other liquid fuel stove,0,0,0
02334da2-473b-40cc-8b33-cd37675bbc4c,LPG stove,1,180,3500
02334da2-473b-40cc-8b33-cd37675bbc4c,No stove,0,0,0
02334da2-473b-40cc-8b33-cd37675bbc4c,Solid-fuel stove,0,0,0
02429dc5-b715-48df-9767-826271983104,Biogas stove,0,0,0
02429dc5-b715-48df-9767-826271983104,Electric cooking stove,0,0,0
02429dc5-b715-48df-9767-826271983104,Kerosene fuel / other liquid fuel stove,1,60,1500
02429dc5-b715-48df-9767-826271983104,LPG stove,0,0,0
02429dc5-b715-48df-9767-826271983104,No stove,0,0,0
02429dc5-b715-48df-9767-826271983104,Solid-fuel stove,1,120,4000
02468f88-e843-4943-a818-595560544ade,Biogas stove,0,0,0
02468f88-e843-4943-a818-595560544ade,Electric cooking stove,0,0,0
02468f88-e843-4943-a818-595560544ade,Kerosene fuel / other liquid fuel stove,1,60,2000
02468f88-e843-4943-a818-595560544ade,LPG stove,0,0,0
02468f88-e843-4943-a818-595560544ade,No stove,0,0,0
02468f88-e843-4943-a818-595560544ade,Solid-fuel stove,2,120,0
024831d3-9cbf-48ac-8d41-f439b1d8b9cb,Biogas stove,0,0,0
024831d3-9cbf-48ac-8d41-f439b1d8b9cb,Electric cooking stove,0,0,0
024831d3-9cbf-48ac-8d41-f439b1d8b9cb,Kerosene fuel / other liquid fuel stove,0,0,0
024831d3-9cbf-48ac-8d41-f439b1d8b9cb,LPG stove,1,60,2750
024831d3-9cbf-48ac-8d41-f439b1d8b9cb,No stove,0,0,0
024831d3-9cbf-48ac-8d41-f439b1d8b9cb,Solid-fuel stove,0,0,0
02596026-1d98-4044-9c00-cfe83baf3d15,Biogas stove,0,0,0
02596026-1d98-4044-9c00-cfe83baf3d15,Electric cooking stove,0,0,0
02596026-1d98-4044-9c00-cfe83baf3d15,Kerosene fuel / other liquid fuel stove,0,0,0
02596026-1d98-4044-9c00-cfe83baf3d15,LPG stove,0,0,0
02596026-1d98-4044-9c00-cfe83baf3d15,No stove,0,0,0
02596026-1d98-4044-9c00-cfe83baf3d15,Solid-fuel stove,2,210,5000
0259d54d-4f05-4ee0-9033-bcce8992c7e9,Biogas stove,0,0,0
0259d54d-4f05-4ee0-9033-bcce8992c7e9,Electric cooking stove,0,0,0
0259d54d-4f05-4ee0-9033-bcce8992c7e9,Kerosene fuel / other liquid fuel stove,0,0,0
0259d54d-4f05-4ee0-9033-bcce8992c7e9,LPG stove,0,0,0
0259d54d-4f05-4ee0-9033-bcce8992c7e9,No stove,0,0,0
0259d54d-4f05-4ee0-9033-bcce8992c7e9,Solid-fuel stove,1,120,4000
0264baf9-c623-43f9-b9ef-bd1bb1f51ff3,Biogas stove,0,0,0
0264baf9-c623-43f9-b9ef-bd1bb1f51ff3,Electric cooking stove,0,0,0
0264baf9-c623-43f9-b9ef-bd1bb1f51ff3,Kerosene fuel / other liquid fuel stove,0,0,0
0264baf9-c623-43f9-b9ef-bd1bb1f51ff3,LPG stove,8,180,8000
0264baf9-c623-43f9-b9ef-bd1bb1f51ff3,No stove,0,0,0
0264baf9-c623-43f9-b9ef-bd1bb1f51ff3,Solid-fuel stove,0,0,0
026b1c22-d652-4770-aba1-2491a49dad29,Biogas stove,0,0,0
026b1c22-d652-4770-aba1-2491a49dad29,Electric cooking stove,0,0,0
026b1c22-d652-4770-aba1-2491a49dad29,Kerosene fuel / other liquid fuel stove,0,0,0
026b1c22-d652-4770-aba1-2491a49dad29,LPG stove,1,36,6000
026b1c22-d652-4770-aba1-2491a49dad29,No stove,0,0,0
026b1c22-d652-4770-aba1-2491a49dad29,Solid-fuel stove,0,0,0
02993d02-0bf4-42a4-bdb5-a7520bfc3401,Biogas stove,0,0,0
02993d02-0bf4-42a4-bdb5-a7520bfc3401,Electric cooking stove,0,0,0
02993d02-0bf4-42a4-bdb5-a7520bfc3401,Kerosene fuel / other liquid fuel stove,0,0,0
02993d02-0bf4-42a4-bdb5-a7520bfc3401,LPG stove,1,120,5500
02993d02-0bf4-42a4-bdb5-a7520bfc3401,No stove,0,0,0
02993d02-0bf4-42a4-bdb5-a7520bfc3401,Solid-fuel stove,0,0,0
029b1a97-30f6-4c61-9dce-a7c00b89661c,Biogas stove,0,0,0
029b1a97-30f6-4c61-9dce-a7c00b89661c,Electric cooking stove,0,0,0
029b1a97-30f6-4c61-9dce-a7c00b89661c,Kerosene fuel / other liquid fuel stove,0,0,0
029b1a97-30f6-4c61-9dce-a7c00b89661c,LPG stove,0,0,0
029b1a97-30f6-4c61-9dce-a7c00b89661c,No stove,0,0,0
029b1a97-30f6-4c61-9dce-a7c00b89661c,Solid-fuel stove,2,300,400
02a645ae-ca9f-4c89-9ac1-1d5151f5f23c,Biogas stove,0,0,0
02a645ae-ca9f-4c89-9ac1-1d5151f5f23c,Electric cooking stove,0,0,0
02a645ae-ca9f-4c89-9ac1-1d5151f5f23c,Kerosene fuel / other liquid fuel stove,0,0,0
02a645ae-ca9f-4c89-9ac1-1d5151f5f23c,LPG stove,1,180,5000
02a645ae-ca9f-4c89-9ac1-1d5151f5f23c,No stove,0,0,0
02a645ae-ca9f-4c89-9ac1-1d5151f5f23c,Solid-fuel stove,0,0,0
03153711-a19a-4a01-a6fa-bd7ff2e546f1,Biogas stove,0,0,0
03153711-a19a-4a01-a6fa-bd7ff2e546f1,Electric cooking stove,0,0,0
03153711-a19a-4a01-a6fa-bd7ff2e546f1,Kerosene fuel / other liquid fuel stove,1,120,2200
03153711-a19a-4a01-a6fa-bd7ff2e546f1,LPG stove,0,0,0
03153711-a19a-4a01-a6fa-bd7ff2e546f1,No stove,0,0,0
03153711-a19a-4a01-a6fa-bd7ff2e546f1,Solid-fuel stove,0,0,0
031e3dec-7598-4691-bbf7-96c6c0ec6210,Biogas stove,0,0,0
031e3dec-7598-4691-bbf7-96c6c0ec6210,Electric cooking stove,0,0,0
031e3dec-7598-4691-bbf7-96c6c0ec6210,Kerosene fuel / other liquid fuel stove,0,0,0
031e3dec-7598-4691-bbf7-96c6c0ec6210,LPG stove,1,30,6000
031e3dec-7598-4691-bbf7-96c6c0ec6210,No stove,0,0,0
031e3dec-7598-4691-bbf7-96c6c0ec6210,Solid-fuel stove,0,0,0
03200b86-cf74-4ac0-b2ae-553ceee09eea,Biogas stove,0,0,0
03200b86-cf74-4ac0-b2ae-553ceee09eea,Electric cooking stove,2,180,2000
03200b86-cf74-4ac0-b2ae-553ceee09eea,Kerosene fuel / other liquid fuel stove,0,0,0
03200b86-cf74-4ac0-b2ae-553ceee09eea,LPG stove,2,120,5000
03200b86-cf74-4ac0-b2ae-553ceee09eea,No stove,0,0,0
03200b86-cf74-4ac0-b2ae-553ceee09eea,Solid-fuel stove,0,0,0
03429722-1475-412f-a291-0b890ef02af0,Biogas stove,0,0,0
03429722-1475-412f-a291-0b890ef02af0,Electric cooking stove,0,0,0
03429722-1475-412f-a291-0b890ef02af0,Kerosene fuel / other liquid fuel stove,0,0,0
03429722-1475-412f-a291-0b890ef02af0,LPG stove,0,0,0
03429722-1475-412f-a291-0b890ef02af0,No stove,0,0,0
03429722-1475-412f-a291-0b890ef02af0,Solid-fuel stove,1,180,3200
03440b0e-d328-497b-824e-b385aca5ab21,Biogas stove,0,0,0
03440b0e-d328-497b-824e-b385aca5ab21,Electric cooking stove,0,0,0
03440b0e-d328-497b-824e-b385aca5ab21,Kerosene fuel / other liquid fuel stove,0,0,0
03440b0e-d328-497b-824e-b385aca5ab21,LPG stove,1,60,5000
03440b0e-d328-497b-824e-b385aca5ab21,No stove,0,0,0
03440b0e-d328-497b-824e-b385aca5ab21,Solid-fuel stove,1,120,0
0381c315-a020-49de-93ea-1fb109c0ad4a,Biogas stove,0,0,0
0381c315-a020-49de-93ea-1fb109c0ad4a,Electric cooking stove,0,0,0
0381c315-a020-49de-93ea-1fb109c0ad4a,Kerosene fuel / other liquid fuel stove,1,150,1500
0381c315-a020-49de-93ea-1fb109c0ad4a,LPG stove,0,0,0
0381c315-a020-49de-93ea-1fb109c0ad4a,No stove,0,0,0
0381c315-a020-49de-93ea-1fb109c0ad4a,Solid-fuel stove,9,120,1000
038447ab-fb8f-40fb-91d2-8dd5945a34dd,Biogas stove,0,0,0
038447ab-fb8f-40fb-91d2-8dd5945a34dd,Electric cooking stove,0,0,0
038447ab-fb8f-40fb-91d2-8dd5945a34dd,Kerosene fuel / other liquid fuel stove,0,0,0
038447ab-fb8f-40fb-91d2-8dd5945a34dd,LPG stove,1,120,2600
038447ab-fb8f-40fb-91d2-8dd5945a34dd,No stove,0,0,0
038447ab-fb8f-40fb-91d2-8dd5945a34dd,Solid-fuel stove,0,0,0
038a0c61-4485-437b-af7b-8c76fcd982b2,Biogas stove,0,0,0
038a0c61-4485-437b-af7b-8c76fcd982b2,Electric cooking stove,0,0,0
038a0c61-4485-437b-af7b-8c76fcd982b2,Kerosene fuel / other liquid fuel stove,0,0,0
038a0c61-4485-437b-af7b-8c76fcd982b2,LPG stove,1,60,2000
038a0c61-4485-437b-af7b-8c76fcd982b2,No stove,0,0,0
038a0c61-4485-437b-af7b-8c76fcd982b2,Solid-fuel stove,0,0,0
03944be0-a9d0-4c69-9a6f-e22735d72ac6,Biogas stove,1,120,3000
03944be0-a9d0-4c69-9a6f-e22735d72ac6,Electric cooking stove,0,0,0
03944be0-a9d0-4c69-9a6f-e22735d72ac6,Kerosene fuel / other liquid fuel stove,2,60,1000
03944be0-a9d0-4c69-9a6f-e22735d72ac6,LPG stove,0,0,0
03944be0-a9d0-4c69-9a6f-e22735d72ac6,No stove,0,0,0
03944be0-a9d0-4c69-9a6f-e22735d72ac6,Solid-fuel stove,0,0,0
0398a18e-884f-4921-9028-4e93b35ef9c7,Biogas stove,0,0,0
0398a18e-884f-4921-9028-4e93b35ef9c7,Electric cooking stove,0,0,0
0398a18e-884f-4921-9028-4e93b35ef9c7,Kerosene fuel / other liquid fuel stove,1,30,1000
0398a18e-884f-4921-9028-4e93b35ef9c7,LPG stove,0,0,0
0398a18e-884f-4921-9028-4e93b35ef9c7,No stove,0,0,0
0398a18e-884f-4921-9028-4e93b35ef9c7,Solid-fuel stove,1,80,3000
03acb128-3243-45a4-a2f3-b0c759c7c7af,Biogas stove,0,0,0
03acb128-3243-45a4-a2f3-b0c759c7c7af,Electric cooking stove,0,0,0
03acb128-3243-45a4-a2f3-b0c759c7c7af,Kerosene fuel / other liquid fuel stove,0,0,0
03acb128-3243-45a4-a2f3-b0c759c7c7af,LPG stove,1,180,6000
03acb128-3243-45a4-a2f3-b0c759c7c7af,No stove,0,0,0
03acb128-3243-45a4-a2f3-b0c759c7c7af,Solid-fuel stove,0,0,0
03b5f705-486b-48ee-99cc-f6fc89a7de07,Biogas stove,1,120,5000
03b5f705-486b-48ee-99cc-f6fc89a7de07,Electric cooking stove,0,0,0
03b5f705-486b-48ee-99cc-f6fc89a7de07,Kerosene fuel / other liquid fuel stove,0,0,0
03b5f705-486b-48ee-99cc-f6fc89a7de07,LPG stove,0,0,0
03b5f705-486b-48ee-99cc-f6fc89a7de07,No stove,0,0,0
03b5f705-486b-48ee-99cc-f6fc89a7de07,Solid-fuel stove,0,0,0
0408fe02-9593-4b0f-aed3-2d57603424e6,Biogas stove,0,0,0
0408fe02-9593-4b0f-aed3-2d57603424e6,Electric cooking stove,0,0,0
0408fe02-9593-4b0f-aed3-2d57603424e6,Kerosene fuel / other liquid fuel stove,1,60,1400
0408fe02-9593-4b0f-aed3-2d57603424e6,LPG stove,1,150,6000
0408fe02-9593-4b0f-aed3-2d57603424e6,No stove,0,0,0
0408fe02-9593-4b0f-aed3-2d57603424e6,Solid-fuel stove,0,0,0
0417c47d-e5c9-41ae-a717-7fc731ec2edf,Biogas stove,0,0,0
0417c47d-e5c9-41ae-a717-7fc731ec2edf,Electric cooking stove,0,0,0
0417c47d-e5c9-41ae-a717-7fc731ec2edf,Kerosene fuel / other liquid fuel stove,0,0,0
0417c47d-e5c9-41ae-a717-7fc731ec2edf,LPG stove,0,0,0
0417c47d-e5c9-41ae-a717-7fc731ec2edf,No stove,0,0,0
0417c47d-e5c9-41ae-a717-7fc731ec2edf,Solid-fuel stove,1,75,3000
0418c915-cb62-47b5-af49-d197443c2c47,Biogas stove,0,0,0
0418c915-cb62-47b5-af49-d197443c2c47,Electric cooking stove,0,0,0
0418c915-cb62-47b5-af49-d197443c2c47,Kerosene fuel / other liquid fuel stove,0,0,0
0418c915-cb62-47b5-af49-d197443c2c47,LPG stove,0,0,0
0418c915-cb62-47b5-af49-d197443c2c47,No stove,0,0,0
0418c915-cb62-47b5-af49-d197443c2c47,Solid-fuel stove,3,240,10800
043f6fed-cbfa-41ba-a0f8-f87049b3937b,Biogas stove,0,0,0
043f6fed-cbfa-41ba-a0f8-f87049b3937b,Electric cooking stove,0,0,0
043f6fed-cbfa-41ba-a0f8-f87049b3937b,Kerosene fuel / other liquid fuel stove,1,295,3000
043f6fed-cbfa-41ba-a0f8-f87049b3937b,LPG stove,0,0,0
043f6fed-cbfa-41ba-a0f8-f87049b3937b,No stove,0,0,0
043f6fed-cbfa-41ba-a0f8-f87049b3937b,Solid-fuel stove,0,0,0
04403e14-8564-4c5b-b26f-b3e766701620,Biogas stove,0,0,0
04403e14-8564-4c5b-b26f-b3e766701620,Electric cooking stove,0,0,0
04403e14-8564-4c5b-b26f-b3e766701620,Kerosene fuel / other liquid fuel stove,1,150,4000
04403e14-8564-4c5b-b26f-b3e766701620,LPG stove,0,0,0
04403e14-8564-4c5b-b26f-b3e766701620,No stove,0,0,0
04403e14-8564-4c5b-b26f-b3e766701620,Solid-fuel stove,0,0,0
0440a6d4-24f1-463c-bfde-839618cb9fb9,Biogas stove,0,0,0
0440a6d4-24f1-463c-bfde-839618cb9fb9,Electric cooking stove,0,0,0
0440a6d4-24f1-463c-bfde-839618cb9fb9,Kerosene fuel / other liquid fuel stove,0,0,0
0440a6d4-24f1-463c-bfde-839618cb9fb9,LPG stove,0,0,0
0440a6d4-24f1-463c-bfde-839618cb9fb9,No stove,0,0,0
0440a6d4-24f1-463c-bfde-839618cb9fb9,Solid-fuel stove,2,180,4500
046a0734-44e8-4470-abae-d5292e359c62,Biogas stove,0,0,0
046a0734-44e8-4470-abae-d5292e359c62,Electric cooking stove,0,0,0
046a0734-44e8-4470-abae-d5292e359c62,Kerosene fuel / other liquid fuel stove,0,0,0
046a0734-44e8-4470-abae-d5292e359c62,LPG stove,1,120,5500
046a0734-44e8-4470-abae-d5292e359c62,No stove,0,0,0
046a0734-44e8-4470-abae-d5292e359c62,Solid-fuel stove,0,0,0
046f3f53-3641-4536-b38c-62632ab5a0c0,Biogas stove,0,0,0
046f3f53-3641-4536-b38c-62632ab5a0c0,Electric cooking stove,0,0,0
046f3f53-3641-4536-b38c-62632ab5a0c0,Kerosene fuel / other liquid fuel stove,1,30,1000
046f3f53-3641-4536-b38c-62632ab5a0c0,LPG stove,1,30,1000
046f3f53-3641-4536-b38c-62632ab5a0c0,No stove,0,0,0
046f3f53-3641-4536-b38c-62632ab5a0c0,Solid-fuel stove,3,120,5000
048c4df3-ef3f-4e81-9c22-1da35ebcb122,Biogas stove,0,0,0
048c4df3-ef3f-4e81-9c22-1da35ebcb122,Electric cooking stove,0,0,0
048c4df3-ef3f-4e81-9c22-1da35ebcb122,Kerosene fuel / other liquid fuel stove,0,0,0
048c4df3-ef3f-4e81-9c22-1da35ebcb122,LPG stove,0,0,0
048c4df3-ef3f-4e81-9c22-1da35ebcb122,No stove,0,0,0
048c4df3-ef3f-4e81-9c22-1da35ebcb122,Solid-fuel stove,2,180,3000
04af39fe-d14f-42cb-ac6f-1d72069ce109,Biogas stove,0,0,0
04af39fe-d14f-42cb-ac6f-1d72069ce109,Electric cooking stove,0,0,0
04af39fe-d14f-42cb-ac6f-1d72069ce109,Kerosene fuel / other liquid fuel stove,0,0,0
04af39fe-d14f-42cb-ac6f-1d72069ce109,LPG stove,1,90,3500
04af39fe-d14f-42cb-ac6f-1d72069ce109,No stove,0,0,0
04af39fe-d14f-42cb-ac6f-1d72069ce109,Solid-fuel stove,0,0,0
04c4f60e-1f06-44ca-abb9-e7c03a79cd78,Biogas stove,0,0,0
04c4f60e-1f06-44ca-abb9-e7c03a79cd78,Electric cooking stove,0,0,0
04c4f60e-1f06-44ca-abb9-e7c03a79cd78,Kerosene fuel / other liquid fuel stove,0,0,0
04c4f60e-1f06-44ca-abb9-e7c03a79cd78,LPG stove,0,0,0
04c4f60e-1f06-44ca-abb9-e7c03a79cd78,No stove,0,0,0
