zone,state,eaid,lga,urca_cat,entid,q102,q103,q201,q201__1,q201__2,q201__3,q201__4,q201__5,q201__6,q201__7,q201__8,q201__9,q201__10,q201__11,q201__12,q201__13,q201__14,q201__15,q201__16,q201__17,q201__18,q201__19,q201__20,q201__21,q201__22,q201__23,q201__24,q201__25,q201__96,q201_1,q202,q202__1,q202__2,q202__3,q202__4,q202__5,q202__6,q202__7,q202__8,q203,q204_1,q204_2,q205_1,q205_2,q206,q207,q207__1,q207__2,q207__3,q207__4,q207__5,q207__6,q207__7,q207__8,q207__9,q207__10,q207__11,q207__12,q207__13,q208,q208__1,q208__2,q208__3,q208__4,q208__5,q208__6,q208__7,q208__8,q208__9,q208__10,q208__11,q208__12,q208__13,q209_1,q209_2,q209_3,q210,q211,q212,q213_1,q213_2,q213_3,q213_4,q213_5,q213_5_1,q213_6,q213_6_1,q214,q214_1,q215,q215_1,q215_1__1,q215_1__2,q215_1__96,q216,q216__1,q216__2,q216__3,q216__4,q216__5,q216__6,q216__7,q216__8,q216__9,q216__10,q216__11,q216__12,q216__13,q216__96,q217,q217_1,q217_2,q301,q301__1,q301__2,q301__3,q301__4,q301__5,q301__6,q301__7,q301__8,q301__9,q301__10,q301__11,q301__12,q301__13,q301__14,q301__0,q301__96,q302,q303,q304_1,q304_2,q304_3,q304_4,q304_5,q304_6,q304_7,q304_8,q304_9,q304_10,q304_10__1,q304_10__2,q304_10__3,q304_10__4,q304_10__5,q304_10__6,q304_10__7,q304_10__0,q304_10__96,q305_1,q305_2,q305_3,q305_4,q305_5,q305_6,q305_7,q306_1,q306_2,q306_2__1,q306_2__2,q306_2__3,q306_2__4,q306_2__5,q306_2__6,q306_2__7,q306_2__8,q306_2__9,q306_2__10,q306_2__11,q306_2__12,q306_2__13,q306_3,q306_4,q306_5,q306_6,q306_7,q306_8,q306_9,q306_10,q306_11,q306_12,q307_1,q307_2,q307_2__1,q307_2__2,q307_2__3,q307_2__4,q307_2__5,q307_2__6,q307_2__7,q307_2__8,q307_2__9,q307_2__10,q307_2__11,q307_2__12,q307_2__13,q307_3,q307_4,q307_5,q307_6,q307_7,q307_8,q307_9,q307_10,q307_11,q307_12,q308,q309,q401,q401__1,q401__2,q401__3,q401__4,q401__5,q401__6,q403,q403__1,q403__2,q403__3,q403__4,q403__5,q403__6,q403__7,q403__8,q403__9,q403__10,q403__11,q403__0,q403__96,q403_1,q404,q406,q406_1,q406_1__1,q406_1__2,q406_1__3,q406_1__4,q406_1__5,q406_1__6,q406_1__7,q406_1__8,q406_1__9,q406_1__10,q406_1__11,q406_1__12,q406_1__13,q406_1__96,q406_2,q407,q501,q501__1,q501__2,q501__3,q501__4,q501__5,q501__96,q501_1,q601_1,q601_2,q601_3,q601_4,q602,q603,q604_1,q604_2,q604_3,q604_4,att_opt_a1_1,att_opt_a2_1,att_opt_a3_1,att_opt_a4_1,att_opt_a5_1,att_opt_a6_1,att_opt_b1_1,att_opt_b2_1,att_opt_b3_1,att_opt_b4_1,att_opt_b5_1,att_opt_b6_1,att_opt_a1_2,att_opt_a2_2,att_opt_a3_2,att_opt_a4_2,att_opt_a5_2,att_opt_a6_2,att_opt_b1_2,att_opt_b2_2,att_opt_b3_2,att_opt_b4_2,att_opt_b5_2,att_opt_b6_2,q605_1,q606_1,q605_2,q606_2,wtp_bid1,wtp_supply,wtp_apps,q607,wtp_bid2,q608,wtp_bid3,q609,q610,comment,validated,natweight
North West,Zamfara,ZA_246,birnin_magaji-kiyaw,Town,c8413845-05b1-48a8-b71b-667f5eec9233,1,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Provision shop,8,0,0,0,0,0,0,0,1,2010-02-01,08:00:00.000+01:00,21:00:00.000+01:00,5,5,6,6 7 8 9,0,0,0,0,0,1,1,1,1,0,0,0,0,1 2 11 12,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,200000,0,20000,0,43,11,20,3,NA,3,NA,1,1,1,1,1,0,0,11 6 5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,NA,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,24,0,0,4000,4000,1500,4,4,0,NA,1 6 3 2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,3,3,3,3,3,3,6,12,33000,any appliances,a solar home system,a private power company,9,9,100000,any appliances,a solar microgrid,a private power company,6,3,66000,lighting and phone charging and fan and tv,the grid,the state electricity company,6,9,33000,any appliances,the grid,the state electricity company,a,3,b,3,3000,off-grid supply,NA,1,6000,1,9000,1,9000,Successiful,yes,0.0647791679678935
North Central,Niger,NI_207,katcha,<1hr to int. city,ae7eb019-b3cb-4924-9ff4-4e7c3b95f470,1,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2010-02-01,08:00:00.000+01:00,20:00:00.000+01:00,5,5,6,6 7 8 9,0,0,0,0,0,1,1,1,1,0,0,0,0,10 11 12 1 2 3 4,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,150000,1,6000,0,26,10,20,96,Gbagyi,96,Gbagyi,0,NA,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,80000,37500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6 7 8 9,0,0,0,0,0,1,1,1,1,0,0,0,0,0,7,24,0,1,5000,5000,3000,2,2,0,NA,1 2 3 4 6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,2,4,2,2,4,9,3,33000,lighting and phone charging,a diesel generator,a group of local townspeople,9,12,100000,lighting and phone charging,a diesel generator,a group of local townspeople,12,9,66000,any appliances,a solar microgrid,the state electricity company,12,12,100000,any appliances,a solar home system,a group of local townspeople,a,3,a,3,6000,grid supply,that can power all appliances,0,3000,1,6000,NA,4000,Shop is hired. And national grid electricity was provided last 7 months,yes,0.0802062472175895
North Central,Niger,NI_207,katcha,<1hr to int. city,c46cbc9d-45b0-4027-8b30-efbcaa2ba811,1,NA,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2014-02-01,07:30:00.000+01:00,22:00:00.000+01:00,10,10,6,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,11 12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,400000,2,0,0,32,7,14,5,NA,3,NA,0,NA,1,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,4,98000,20000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5 6 7 8,0,0,0,0,1,1,1,1,0,0,0,0,0,0,7,24,0,0,5000,2000,3000,2,2,1,1500,1 2 6 4 3,1,1,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,3,3,2,4,2,2,3,12,12,66000,lighting and phone charging and fan and tv,a diesel generator,a group of local townspeople,6,12,33000,any appliances,the grid,a private power company,9,3,33000,any appliances,a solar microgrid,a group of local townspeople,3,6,3000,lighting and phone charging,a diesel generator,the state electricity company,b,3,b,3,66000,off-grid supply,NA,0,33000,0,9000,0,3000,Rented shop. Brothers work for him and are not paid. National grid was last provided over a year ago,yes,0.0802062472175895
North Central,Federal Capital Territory,FC_54,gwagwalada,<1hr to large city,127bf71e-e443-4cb7-abbb-1efcab8404f9,1,NA,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2017-02-01,09:00:00.000+01:00,23:30:00.000+01:00,14,12,6,2 1 3,1,1,1,0,0,0,0,0,0,0,0,0,0,8 9 10 11 12,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,350000,2,35000,0,37,5,20,6,NA,1,NA,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,3,45000,9000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,13,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,23,0,0,6000,18000,2500,1,1,1,1,1 2 6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,5,1,1,1,1,12,6,3000,lighting and phone charging and fan and tv,a diesel generator,a group of local townspeople,9,9,66000,any appliances,a diesel generator,a private power company,3,6,33000,any appliances,a diesel generator,a group of local townspeople,3,6,66000,any appliances,the grid,a group of local townspeople,a,3,b,3,9000,off-grid supply,NA,0,6000,0,3000,1,3000,NA,yes,0.0967626362965867
North West,Kano,KN_118,ungogo,<1hr to large city,113c473f-6570-4191-a212-37fe62085fb4,1,NA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Pharmacy,8,0,0,0,0,0,0,0,1,2021-02-01,10:00:00.000+01:00,23:00:00.000+01:00,7,5,6,1 2 4 3,1,1,1,1,0,0,0,0,0,0,0,0,0,8 9 10 11 12,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,100000,1,28000,0,22,4,20,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,640,200,1,NA,NA,NA,70000,3,1 4,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3 4 5 6,0,0,1,1,1,1,0,0,0,0,0,0,0,4,5,20,0,0,1000,15000,3000,3,3,0,NA,1 6 3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,2,3,2,3,3,1,6,9,33000,any appliances,a diesel generator,a group of local townspeople,9,3,3000,any appliances,a solar home system,a private power company,6,6,33000,lighting and phone charging and fan and tv,a solar microgrid,a group of local townspeople,6,9,100000,lighting and phone charging,a diesel generator,a group of local townspeople,b,3,a,2,100000,grid supply,that can power all appliances,0,66000,0,33000,0,33000,NA,yes,0.109779068299457
North West,Zamfara,ZA_246,birnin_magaji-kiyaw,Town,45471f97-9308-4b92-a3d9-9de26a705e65,1,NA,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea and bread (Mai Shayi),8,0,0,0,0,0,0,0,1,2006-02-01,06:13:00.000+01:00,13:00:00.000+01:00,4,4,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1 2 3 4 6 7 11 10 9 8 12,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,300000,3,40000,0,35,15,14,3,NA,3,NA,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 7 6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7 8 9,0,0,0,0,0,0,1,1,1,0,0,0,0,4,7,20,0,0,4000,5000,2000,3,2,1,9000,1 2 3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,0,1,0,0,NA,3,2,2,3,1,3,2,2,2,2,12,6,3000,lighting and phone charging and fan and tv,a solar microgrid,a group of local townspeople,3,9,33000,lighting and phone charging and fan and tv,a solar microgrid,the state electricity company,6,3,100000,lighting and phone charging and fan and tv,a solar microgrid,the state electricity company,9,3,66000,lighting and phone charging,a solar home system,a private power company,a,2,b,2,9000,off-grid supply,that can power all appliances,1,33000,1,66000,1,66000,Successfull,yes,0.0647791679678935
North West,Zamfara,ZA_246,birnin_magaji-kiyaw,Town,8218a17d-d1db-42d9-ad6d-0127e0185470,1,NA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2016-02-01,08:00:00.000+01:00,21:00:00.000+01:00,4,4,6,8 11 12,0,0,0,0,0,0,0,1,0,0,1,1,0,1 2 3 4 5 6 9 10,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,380000,2,35000,0,30,5,20,3,NA,3,NA,1,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5 7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,45000,4000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7 8 9,0,0,0,0,0,0,1,1,1,0,0,0,0,11,4,24,0,0,3500,4000,2000,2,2,1,3500,1 2 6 3,1,1,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,3,2,2,2,2,12,6,3000,lighting and phone charging,a solar home system,a private power company,9,6,100000,lighting and phone charging and fan and tv,a solar home system,a private power company,12,12,66000,lighting and phone charging,a solar home system,a group of local townspeople,9,9,100000,any appliances,a solar home system,a private power company,a,2,a,2,100000,off-grid supply,NA,0,66000,1,100000,NA,66000,Successful. He pays his staff 10 thousand naira each and the rest goes to himself,yes,0.0647791679678935
North West,Zamfara,ZA_246,birnin_magaji-kiyaw,Town,b0101c53-1dc3-4cc7-8e5e-81ff514bc6e6,1,NA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Provision Store,8,0,0,0,0,0,0,0,1,2010-02-01,07:00:00.000+01:00,23:00:00.000+01:00,6,4,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1 2 3 4 6 7 9 11 8 10 12,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,550000,1,35000,0,37,10,26,3,NA,3,NA,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5 6 7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,3,45000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8 9 10,0,0,0,0,0,0,0,1,1,1,0,0,0,7,7,18,0,0,5000,9000,2500,3,3,1,4500,1 2 3 6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,4,3,3,3,3,6,9,100000,any appliances,a diesel generator,a private power company,6,9,66000,lighting and phone charging,a solar home system,a private power company,9,3,66000,lighting and phone charging and fan and tv,the grid,a private power company,6,3,3000,any appliances,a diesel generator,a group of local townspeople,b,2,b,2,3000,off-grid supply,that can power all appliances,1,6000,1,9000,1,66000,Successful and he pays his staff a total of 10 thousand naira while the rest goes to him.,yes,0.0647791679678935
North Central,Nassarawa,"NA_184",nasarawa_egon,<1hr to int. city,a1d4b79c-ee99-491c-b076-9b1aced78459,1,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Provision Store,8,0,0,0,0,0,0,0,1,2014-02-01,07:00:00.000+01:00,22:00:00.000+01:00,15,10,4,11,0,0,0,0,0,0,0,0,0,0,1,0,0,6 7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,200000,0,30000,0,32,7,14,5,NA,5,NA,0,NA,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,20000,1500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,0,0,0,0,0,0,0,1,0,0,0,0,0,22,2,2,0,0,12000,15000,2000,4,4,0,NA,1 3 4,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,6,4,4,4,1,6,12,3000,lighting and phone charging,the grid,the state electricity company,3,9,3000,any appliances,a diesel generator,a group of local townspeople,6,12,66000,lighting and phone charging,the grid,a group of local townspeople,9,6,66000,lighting and phone charging and fan and tv,a solar home system,a group of local townspeople,a,3,a,1,6000,off-grid supply,NA,1,9000,1,33000,0,10000,No comments,yes,0.0802062472175895
North Central,Nassarawa,"NA_184",nasarawa_egon,<1hr to int. city,9ee5efc4-5512-4078-a520-cfef15061af4,1,NA,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2017-02-01,09:00:00.000+01:00,23:00:00.000+01:00,15,10,4,8 9 7,0,0,0,0,0,0,1,1,1,0,0,0,0,1 2 3 4 5 12 11 10 6,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,100000,1,30000,0,34,8,21,96,Eggon,3,NA,0,NA,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,18000,2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8 7,0,0,0,0,0,0,1,1,0,0,0,0,0,13,2,11,0,1,10000,12000,2000,4,4,0,NA,1 6 3,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98,1,2,2,4,2,4,4,4,1,12,12,100000,any appliances,a diesel generator,the state electricity company,6,3,3000,any appliances,a solar microgrid,a group of local townspeople,9,3,66000,any appliances,the grid,a group of local townspeople,6,3,3000,lighting and phone charging and fan and tv,a diesel generator,a private power company,b,3,b,3,66000,grid supply,that can power all appliances,0,33000,0,9000,0,2000,No comments,yes,0.0802062472175895
North Central,Federal Capital Territory,FC_60,abaji,<1hr to large city,c336e96e-6166-46e7-8a10-76cffe8ea20b,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2014-02-01,08:00:00.000+01:00,23:00:00.000+01:00,5,5,6,2 3 4 5,0,1,1,1,1,0,0,0,0,0,0,0,0,1 12 11 10 9 8,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,100000,0,10000,0,40,8,8,96,Bassa,96,Bassa,0,NA,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,23,0,0,1000,5000,1500,2,2,1,1000,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,0,0,1,0,NA,2,1,1,2,3,2,2,2,3,2,9,9,66000,any appliances,a solar microgrid,a private power company,9,3,66000,lighting and phone charging,a solar microgrid,a group of local townspeople,3,3,3000,any appliances,a solar microgrid,a group of local townspeople,3,12,100000,lighting and phone charging,a solar microgrid,a private power company,a,1,a,3,6000,grid supply,NA,0,3000,0,3000,0,1500,This is small shop the owner is the sell person they've no employee,yes,0.0967626362965867
North Central,Niger,NI_192,tafa,<1hr to large city,6536e5d1-838c-46c0-a5db-340dce8a7a05,1,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2020-02-01,08:00:00.000+01:00,18:00:00.000+01:00,6,8,6,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,5 7 12,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,400000,6,5400,1,28,2,14,96,Gbagyi,96,Gbagyi,0,NA,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,18,0,0,3000,3000,2000,3,2,1,1000,1 3 6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,0,0,0,0,NA,2,1,2,4,1,3,2,2,1,1,12,12,33000,any appliances,a solar microgrid,the state electricity company,9,12,66000,lighting and phone charging and fan and tv,a solar home system,the state electricity company,9,9,3000,any appliances,a solar microgrid,a group of local townspeople,12,3,100000,lighting and phone charging and fan and tv,a diesel generator,a private power company,a,1,a,3,9000,grid supply,NA,0,6000,0,3000,1,3000,NA,yes,0.0967626362965867
North Central,Niger,NI_192,tafa,<1hr to large city,a75f3947-b980-43a5-aaaa-a5384628db6f,1,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2020-02-01,07:30:00.000+01:00,22:00:00.000+01:00,7,5,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150000,0,15000,0,28,3,14,96,Gwari,96,Gwari,0,NA,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 5 6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,38000,15000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,4,2,20,0,0,3000,2000,1000,2,2,1,1000,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,1,3,3,1,1,3,6,12,3000,any appliances,a solar home system,a private power company,6,12,66000,lighting and phone charging,a diesel generator,the state electricity company,6,3,3000,lighting and phone charging,a solar microgrid,a group of local townspeople,3,12,3000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,a,1,a,1,6000,off-grid supply,that can power all appliances,1,9000,0,6000,NA,6000,NA,yes,0.0967626362965867
